N,top_entity,top_file,LUT,Total_OnChip_Power_W
hod_4,MariusMethod_4.vhd,NA,NA
5,MariusMethod_5,MariusMethod_5.vhd,NA,NA
6,MariusMethod_6,MariusMethod_6.vhd,NA,NA
7,MariusMethod_7,MariusMethod_7.vhd,NA,NA
8,MariusMethod_8,MariusMethod_8.vhd,NA,NA
9,MariusMethod_9,MariusMethod_9.vhd,NA,NA
10,MariusMethod_10,MariusMethod_10.vhd,NA,NA
11,MariusMethod_11,MariusMethod_11.vhd,NA,NA
12,MariusMethod_12,MariusMethod_12.vhd,NA,NA
13,MariusMethod_13,MariusMethod_13.vhd,NA,NA
14,MariusMethod_14,MariusMethod_14.vhd,NA,NA
15,MariusMethod_15,MariusMethod_15.vhd,NA,NA
16,MariusMethod_16,MariusMethod_16.vhd,NA,NA
17,MariusMethod_17,MariusMethod_17.vhd,NA,NA
18,MariusMethod_18,MariusMethod_18.vhd,NA,NA
19,MariusMethod_19,MariusMethod_19.vhd,NA,NA
20,MariusMethod_20,MariusMethod_20.vhd,NA,NA
21,MariusMethod_21,MariusMethod_21.vhd,NA,NA
22,MariusMethod_22,MariusMethod_22.vhd,NA,NA
23,MariusMethod_23,MariusMethod_23.vhd,NA,NA
24,MariusMethod_24,MariusMethod_24.vhd,NA,NA
25,MariusMethod_25,MariusMethod_25.vhd,NA,NA
